customer_state,orders,late_rate
AL,397,0.23929471032745592
MA,716,0.19692737430167598
PI,476,0.15966386554621848
CE,1278,0.15336463223787167
SE,335,0.15223880597014924
BA,3256,0.14035626535626536
RJ,12348,0.13475866537091027
TO,274,0.12773722627737227
PA,946,0.12367864693446089
ES,1995,0.12230576441102757
RR,41,0.12195121951219512
MS,701,0.11554921540656206
PB,517,0.1102514506769826
PE,1593,0.10797237915881984
RN,474,0.10759493670886076
SC,3546,0.09757473209249859
GO,1957,0.08175779253960143
RS,5342,0.07150879820292025
DF,2080,0.07067307692307692
MT,886,0.06772009029345373
SP,40484,0.058912162829759904
MG,11351,0.05611840366487534
PR,4922,0.049776513612352705
AP,67,0.04477611940298507
AM,145,0.041379310344827586
AC,80,0.0375
RO,243,0.02880658436213992
