feature,on_time_mean,late_mean,mean_difference_late_minus_on_time,missing
mean_product_volume_cm3,15021.254385557753,16640.713010475825,1619.458624918072,16
total_product_volume_cm3,17226.567614835207,18485.494950786142,1258.9273359509352,0
mean_product_weight_g,2071.774705264867,2397.8015668084954,326.02686154362846,16
total_product_weight_g,2363.018606068128,2652.1459798031447,289.1273737350166,0
mean_distance_km,588.5514034949596,739.1049995784664,150.55359608350682,476
max_distance_km,589.9960757163611,739.2253235404145,149.22924782405335,476
payment_value,158.7234663251605,172.72091664535924,13.997450320198737,1
total_price,136.06902185564218,148.0696037325834,12.000581876941226,0
promised_delivery_days,23.47091711624645,21.46407792815345,-2.006839188093,0
total_freight,22.624332991074954,24.623267288763902,1.9989342976889475,0
same_state_seller_share,0.36771835896510097,0.26850313179087304,-0.09921522717422793,0
max_installments,2.9211188464012094,3.0102275632830477,0.0891087168818383,1
item_count,1.1447640109673125,1.113383612424901,-0.03138039854241148,0
unique_products,1.0400442303135613,1.0216029656142145,-0.018441264699346815,0
seller_count,1.0149277308269489,1.0023009075802123,-0.012626823246736585,0
category_count,0.9944712108048337,0.9868336955132302,-0.007637515291603503,0
freight_ratio,0.2087538901064951,0.2114708095742905,0.0027169194677954256,0
