feature,type
purchase_year,numeric
purchase_month,numeric
purchase_weekday,numeric
purchase_hour,numeric
purchase_is_weekend,numeric
purchase_month_sin,numeric
purchase_month_cos,numeric
purchase_weekday_sin,numeric
purchase_weekday_cos,numeric
purchase_hour_sin,numeric
purchase_hour_cos,numeric
approval_lag_hours,numeric
promised_delivery_days,numeric
item_count,numeric
unique_products,numeric
seller_count,numeric
total_price,numeric
total_freight,numeric
order_total_value,numeric
mean_item_price,numeric
max_item_price,numeric
freight_ratio,numeric
payment_records,numeric
payment_value,numeric
max_installments,numeric
payment_type_count,numeric
mean_product_weight_g,numeric
total_product_weight_g,numeric
mean_product_volume_cm3,numeric
total_product_volume_cm3,numeric
category_count,numeric
mean_product_photos,numeric
seller_state_count,numeric
mean_distance_km,numeric
max_distance_km,numeric
min_distance_km,numeric
all_sellers_same_state,numeric
same_state_seller_share,numeric
customer_state,categorical
primary_payment_type,categorical
dominant_product_category,categorical
