feature,feature_type,psi,reference_missing_pct,comparison_missing_pct,drift_flag
purchase_month,numeric,11.20451539981937,0.0,0.0,high
purchase_month_cos,numeric,10.81399969476419,0.0,0.0,high
purchase_month_sin,numeric,9.453353593224625,0.0,0.0,high
purchase_year,numeric,7.43069661927956,0.0,0.0,high
promised_delivery_days,numeric,0.5809483285192762,0.0,0.0,high
total_freight,numeric,0.23808319453988902,0.0,0.0,moderate
dominant_product_category,categorical,0.1690929026296328,0.0,0.0,moderate
primary_payment_type,categorical,0.036218777528112325,0.0012197799516967139,0.0,low
mean_product_volume_cm3,numeric,0.027983006471134688,0.019516479227147422,0.0,low
approval_lag_hours,numeric,0.025477307909525196,0.0,0.0,low
total_product_volume_cm3,numeric,0.023790358925005653,0.0,0.0,low
min_distance_km,numeric,0.02018544852394507,0.5098680198092265,0.4008847110865358,low
mean_product_weight_g,numeric,0.019811918217640254,0.019516479227147422,0.0,low
max_distance_km,numeric,0.019362489452496093,0.5098680198092265,0.4008847110865358,low
mean_distance_km,numeric,0.01919605524828832,0.5098680198092265,0.4008847110865358,low
total_product_weight_g,numeric,0.018477937666866725,0.0,0.0,low
customer_state,categorical,0.016627348179723986,0.0,0.0,low
mean_product_photos,numeric,0.014057373865319162,1.5381425190895561,0.4838263754492674,low
freight_ratio,numeric,0.010893825358893399,0.0,0.0,low
mean_item_price,numeric,0.009341084980244024,0.0,0.0,low
max_item_price,numeric,0.00886271352539633,0.0,0.0,low
max_installments,numeric,0.007452304288969828,0.0012197799516967139,0.0,low
total_price,numeric,0.005132022526470819,0.0,0.0,low
purchase_hour_cos,numeric,0.00313364024532938,0.0,0.0,low
purchase_hour_sin,numeric,0.002115946772759762,0.0,0.0,low
payment_value,numeric,0.001687212253086623,0.0012197799516967139,0.0,low
order_total_value,numeric,0.0016434962316247965,0.0,0.0,low
purchase_hour,numeric,0.0015901317192730058,0.0,0.0,low
purchase_weekday,numeric,0.0010315702847046033,0.0,0.0,low
purchase_weekday_sin,numeric,0.0009606583874016326,0.0,0.0,low
item_count,numeric,0.0002443291407887277,0.0,0.0,low
purchase_weekday_cos,numeric,0.00014101488526488206,0.0,0.0,low
purchase_is_weekend,numeric,0.0,0.0,0.0,low
payment_records,numeric,0.0,0.0012197799516967139,0.0,low
seller_count,numeric,0.0,0.0,0.0,low
unique_products,numeric,0.0,0.0,0.0,low
payment_type_count,numeric,0.0,0.0012197799516967139,0.0,low
seller_state_count,numeric,0.0,0.0,0.0,low
category_count,numeric,0.0,0.0,0.0,low
all_sellers_same_state,numeric,0.0,0.0,0.0,low
same_state_seller_share,numeric,0.0,0.0,0.0,low
