feature,importance
numeric__purchase_month_cos,0.07264866679906845
categorical__customer_state_SP,0.05992416664958
numeric__same_state_seller_share,0.05903898924589157
categorical__customer_state_RJ,0.04054490104317665
categorical__customer_state_MG,0.02397724613547325
numeric__purchase_year,0.023216286674141884
numeric__min_distance_km,0.020999209955334663
numeric__all_sellers_same_state,0.020518800243735313
numeric__purchase_month,0.020226698368787766
numeric__promised_delivery_days,0.019305873662233353
categorical__customer_state_PR,0.01773015595972538
numeric__seller_count,0.017560599371790886
categorical__customer_state_BA,0.015036316588521004
numeric__mean_distance_km,0.013817924074828625
numeric__purchase_month_sin,0.013133167289197445
categorical__customer_state_PE,0.011731905862689018
numeric__max_distance_km,0.011446069926023483
categorical__customer_state_AL,0.01003389060497284
categorical__customer_state_ES,0.009582838974893093
categorical__customer_state_DF,0.00940826814621687
numeric__item_count,0.0091792531311512
numeric__total_freight,0.00885307788848877
categorical__customer_state_CE,0.00878255907446146
categorical__customer_state_SC,0.008752912282943726
numeric__mean_item_price,0.008450161665678024
categorical__customer_state_MS,0.008092498406767845
categorical__customer_state_PI,0.00805840827524662
categorical__dominant_product_category_unknown,0.007961941882967949
numeric__approval_lag_hours,0.00777411600574851
numeric__unique_products,0.007675520144402981
categorical__customer_state_PA,0.007524033542722464
categorical__dominant_product_category_perfumery,0.007481682579964399
categorical__dominant_product_category_costruction_tools_garden,0.00737107265740633
numeric__mean_product_volume_cm3,0.007142733316868544
categorical__customer_state_PB,0.007088660262525082
numeric__mean_product_weight_g,0.007002892438322306
categorical__customer_state_RS,0.006956299766898155
categorical__dominant_product_category_fashion_bags_accessories,0.006940060760825872
categorical__dominant_product_category_computers,0.006703440099954605
numeric__missingindicator_max_distance_km,0.006680263672024012
categorical__dominant_product_category_cool_stuff,0.006659022998064756
categorical__dominant_product_category_baby,0.006608609575778246
categorical__dominant_product_category_books_general_interest,0.006580151617527008
categorical__customer_state_MA,0.006557676941156387
numeric__total_product_weight_g,0.006494852714240551
categorical__dominant_product_category_garden_tools,0.006494758650660515
numeric__missingindicator_mean_distance_km,0.006457406096160412
categorical__dominant_product_category_office_furniture,0.006444263271987438
categorical__dominant_product_category_luggage_accessories,0.006354052573442459
categorical__customer_state_RO,0.006319588515907526
categorical__dominant_product_category_musical_instruments,0.0062962970696389675
categorical__dominant_product_category_bed_bath_table,0.006255005020648241
categorical__dominant_product_category_housewares,0.006187521852552891
numeric__max_item_price,0.006117002107203007
categorical__dominant_product_category_consoles_games,0.006106527056545019
numeric__missingindicator_mean_product_photos,0.0060757664032280445
numeric__payment_value,0.005947910714894533
categorical__customer_state_GO,0.005944645963609219
categorical__dominant_product_category_food,0.005881397053599358
categorical__primary_payment_type_voucher,0.0058200424537062645
numeric__total_product_volume_cm3,0.005793502554297447
categorical__customer_state_MT,0.005791402887552977
categorical__dominant_product_category_pet_shop,0.00572233647108078
categorical__dominant_product_category_furniture_decor,0.005680570844560862
categorical__dominant_product_category_home_appliances,0.005667125806212425
numeric__payment_type_count,0.005642871372401714
numeric__mean_product_photos,0.00555315101519227
numeric__purchase_weekday,0.005431081634014845
numeric__total_price,0.005413932725787163
categorical__dominant_product_category_toys,0.005412403494119644
categorical__dominant_product_category_agro_industry_and_commerce,0.005357838235795498
numeric__order_total_value,0.005344192963093519
categorical__dominant_product_category_kitchen_dining_laundry_garden_furniture,0.0053206817246973515
categorical__dominant_product_category_market_place,0.005199729464948177
categorical__dominant_product_category_auto,0.005152867175638676
categorical__dominant_product_category_health_beauty,0.005111458245664835
numeric__freight_ratio,0.005103823728859425
categorical__dominant_product_category_sports_leisure,0.005017601419240236
categorical__primary_payment_type_credit_card,0.0049555678851902485
categorical__customer_state_RR,0.004945904947817326
categorical__customer_state_SE,0.004939951002597809
categorical__primary_payment_type_debit_card,0.004918042570352554
numeric__max_installments,0.0047676824033260345
categorical__dominant_product_category_computers_accessories,0.00473413011059165
categorical__dominant_product_category_construction_tools_construction,0.004696308169513941
categorical__dominant_product_category_small_appliances,0.0046637998893857
categorical__dominant_product_category_electronics,0.004625789355486631
categorical__customer_state_RN,0.004615526646375656
categorical__dominant_product_category_construction_tools_safety,0.004526396747678518
categorical__dominant_product_category_air_conditioning,0.004509253427386284
numeric__purchase_hour,0.004508651793003082
categorical__dominant_product_category_telephony,0.004458797164261341
categorical__dominant_product_category_costruction_tools_tools,0.0044225240126252174
numeric__purchase_weekday_cos,0.004365196451544762
numeric__purchase_hour_cos,0.00434414716437459
categorical__dominant_product_category_home_confort,0.004330814350396395
numeric__purchase_weekday_sin,0.004303075838834047
categorical__dominant_product_category_stationery,0.004215208347886801
categorical__dominant_product_category_watches_gifts,0.004205318633466959
numeric__purchase_hour_sin,0.004142832942306995
categorical__dominant_product_category_food_drink,0.004062050022184849
categorical__dominant_product_category_books_technical,0.003949934151023626
categorical__dominant_product_category_industry_commerce_and_business,0.0038642999716103077
categorical__dominant_product_category_audio,0.0038046175613999367
numeric__missingindicator_min_distance_km,0.0037160362116992474
numeric__payment_records,0.00364297884516418
categorical__primary_payment_type_boleto,0.003587176324799657
categorical__dominant_product_category_fashion_shoes,0.00331242592073977
numeric__purchase_is_weekend,0.00219287839718163
numeric__missingindicator_payment_value,0.0
numeric__missingindicator_payment_records,0.0
numeric__missingindicator_mean_product_volume_cm3,0.0
numeric__missingindicator_max_installments,0.0
numeric__missingindicator_payment_type_count,0.0
categorical__customer_state_AP,0.0
categorical__customer_state_AM,0.0
categorical__customer_state_AC,0.0
numeric__category_count,0.0
numeric__seller_state_count,0.0
categorical__dominant_product_category_art,0.0
categorical__dominant_product_category_arts_and_craftmanship,0.0
categorical__customer_state_TO,0.0
numeric__missingindicator_mean_product_weight_g,0.0
categorical__dominant_product_category_fashion_sport,0.0
categorical__dominant_product_category_dvds_blu_ray,0.0
categorical__dominant_product_category_fashion_childrens_clothes,0.0
categorical__dominant_product_category_fashion_male_clothing,0.0
categorical__dominant_product_category_drinks,0.0
categorical__dominant_product_category_fashio_female_clothing,0.0
categorical__dominant_product_category_books_imported,0.0
categorical__dominant_product_category_cds_dvds_musicals,0.0
categorical__dominant_product_category_christmas_supplies,0.0
categorical__dominant_product_category_cine_photo,0.0
categorical__dominant_product_category_construction_tools_lights,0.0
