feature,importance_mean,importance_std
promised_delivery_days,0.050089910489920696,0.0006787011064823001
approval_lag_hours,0.003886529905420685,0.0009480764468737789
dominant_product_category,0.0014271734905579286,0.00032725355375704055
purchase_weekday,0.0010668587086933134,0.00019839906251113145
seller_count,0.0009651491845283633,0.0006431820418324097
freight_ratio,0.0005812317163815056,0.0004481914331327396
total_product_weight_g,0.0004686429999045699,0.00025202485804702053
mean_product_weight_g,0.0004447426209326616,0.0002595994593623876
purchase_weekday_sin,0.00018653320488472568,0.00010730746924714722
mean_product_volume_cm3,0.00016462575173821492,0.0003584521079700847
purchase_month,0.0001399212655638138,2.643130352821955e-05
all_sellers_same_state,0.00012251326324986267,0.0003352105857100681
mean_item_price,9.508443124723875e-05,0.00018365649194383138
purchase_weekday_cos,4.651578718936622e-05,2.978681513366249e-05
mean_product_photos,4.052224874400157e-05,0.00012649625764742046
payment_type_count,2.371328213314483e-05,1.3825363662556725e-05
purchase_hour_cos,1.5942934575557955e-05,8.619272918358063e-05
payment_records,9.64712824955971e-06,2.679224762839262e-05
purchase_is_weekend,6.509401455373487e-06,7.725188681226635e-06
category_count,0.0,0.0
purchase_year,0.0,0.0
seller_state_count,0.0,0.0
max_item_price,-7.5176434704254945e-06,0.00012621558926541142
unique_products,-7.401290363017455e-05,9.625132579147372e-05
item_count,-0.00010215098414015078,0.00027107212978950534
total_product_volume_cm3,-0.00010481853349491865,0.00028113323591211784
payment_value,-0.00013511433214588863,8.24161413594332e-05
primary_payment_type,-0.00020213298165525084,0.00010830654719484517
purchase_month_sin,-0.00021059845075128704,0.0003729304078204907
purchase_month_cos,-0.000306114765366472,5.184166438984147e-05
purchase_hour_sin,-0.00041972763494843856,0.00021381035774241963
total_price,-0.000507754869604704,0.00017799977337883051
order_total_value,-0.0005671489003866686,0.00045809982734258177
purchase_hour,-0.0006175744052504789,0.0003122053462438424
max_installments,-0.0006451789529355878,0.00015623698465164744
max_distance_km,-0.002520095625424312,0.0004258140094744057
total_freight,-0.004219963951419226,0.0005930052912210057
customer_state,-0.005591481011961319,0.0033501151486310266
same_state_seller_share,-0.008427508094813732,0.0011798650514464873
mean_distance_km,-0.011454226935806635,0.0010099051773901299
min_distance_km,-0.012560082915674994,0.0012144001779042846
