segment,rows,positives,prevalence,pr_auc,pr_auc_lift,roc_auc,brier_score,log_loss
SP,6747,641,0.09500518749073662,0.2095485551378022,2.205653824515993,0.7114276742704165,0.10804046268252072,0.3737305202572421
RJ,1627,88,0.054087277197295634,0.13938493771143132,2.5770374279147585,0.7369823970701164,0.10996234094283851,0.3718364275058829
MG,1581,33,0.020872865275142316,0.06007789113879997,2.878277148195235,0.6952078928823114,0.07034324930571627,0.2824291134596862
PR,742,23,0.03099730458221024,0.11967355126761338,3.8607728278508318,0.7257059926226038,0.052954668540002546,0.23227584704387058
RS,719,24,0.03337969401947149,0.05815433393461272,1.7422069207911062,0.661990407673861,0.10854100536952871,0.37306841947738056
SC,462,16,0.03463203463203463,0.158614624875072,4.579997293267704,0.6765695067264573,0.10868582919242574,0.3819411718903897
BA,457,20,0.0437636761487965,0.1650829219042962,3.772144765513168,0.6605263157894736,0.3154179275975713,0.8306286058187367
DF,355,14,0.03943661971830986,0.06728421489319536,1.7061354490774536,0.5318391286133222,0.13269382332670923,0.43551217681960164
GO,275,11,0.04,0.23136727728260628,5.784181932065157,0.7014462809917354,0.11848974162231413,0.4016385324107284
ES,273,13,0.047619047619047616,0.21510581534135617,4.51722212216848,0.7647928994082841,0.1923009850241107,0.5641675078556323
PE,241,12,0.04979253112033195,0.06632468623628193,1.3320207819119956,0.6044395924308588,0.25405317076180634,0.6951203582001856
