feature,mean_abs_shap
numeric__purchase_month_cos,0.87960476
numeric__promised_delivery_days,0.6083018
categorical__customer_state_SP,0.16369912
numeric__min_distance_km,0.15507957
numeric__same_state_seller_share,0.12954219
numeric__purchase_month,0.11607357
numeric__approval_lag_hours,0.09481391
numeric__mean_distance_km,0.0838277
categorical__customer_state_MG,0.07884101
numeric__purchase_year,0.06991995
numeric__total_freight,0.068837695
categorical__customer_state_RJ,0.06320773
categorical__customer_state_PR,0.049246203
numeric__mean_product_volume_cm3,0.038635243
numeric__item_count,0.037733458
categorical__customer_state_BA,0.03770032
numeric__purchase_month_sin,0.037606217
numeric__seller_count,0.032189067
numeric__mean_item_price,0.03195282
numeric__mean_product_photos,0.030192386
numeric__mean_product_weight_g,0.02877157
numeric__max_distance_km,0.026527101
numeric__max_installments,0.025993286
numeric__freight_ratio,0.022865236
numeric__purchase_weekday,0.020668589
numeric__all_sellers_same_state,0.019174635
numeric__purchase_hour,0.014647579
numeric__total_product_volume_cm3,0.013023662
numeric__order_total_value,0.013002666
categorical__customer_state_DF,0.012679237
categorical__customer_state_ES,0.011373044
numeric__total_product_weight_g,0.010074684
categorical__dominant_product_category_bed_bath_table,0.008274671
numeric__purchase_hour_cos,0.007712775
numeric__max_item_price,0.00765511
numeric__total_price,0.007630397
categorical__dominant_product_category_furniture_decor,0.007529639
categorical__customer_state_AL,0.0067506586
categorical__dominant_product_category_health_beauty,0.006572342
categorical__customer_state_PI,0.006386704
numeric__purchase_hour_sin,0.006352957
categorical__dominant_product_category_cool_stuff,0.0061249477
categorical__dominant_product_category_housewares,0.0054852758
categorical__customer_state_SC,0.005333782
categorical__dominant_product_category_luggage_accessories,0.004589519
numeric__payment_value,0.004545541
categorical__customer_state_PA,0.004235163
categorical__dominant_product_category_pet_shop,0.003607967
numeric__unique_products,0.0034782712
categorical__customer_state_PE,0.0034543064
numeric__purchase_weekday_sin,0.0031939214
categorical__dominant_product_category_office_furniture,0.0022159424
categorical__dominant_product_category_perfumery,0.0018958389
numeric__purchase_weekday_cos,0.001732136
categorical__customer_state_RS,0.0016624362
categorical__customer_state_RO,0.0016408328
categorical__dominant_product_category_computers_accessories,0.0015807963
categorical__dominant_product_category_fashion_bags_accessories,0.0015112739
categorical__dominant_product_category_baby,0.0014974839
categorical__primary_payment_type_credit_card,0.0014828646
categorical__dominant_product_category_telephony,0.0014190436
categorical__primary_payment_type_boleto,0.0013918687
categorical__dominant_product_category_toys,0.0013708484
categorical__customer_state_CE,0.001365063
categorical__dominant_product_category_watches_gifts,0.0013588641
categorical__dominant_product_category_agro_industry_and_commerce,0.0010754628
categorical__dominant_product_category_garden_tools,0.0009810887
categorical__customer_state_MA,0.0008826846
numeric__missingindicator_mean_distance_km,0.00087411446
categorical__dominant_product_category_auto,0.0008525171
categorical__customer_state_SE,0.0007498704
categorical__customer_state_PB,0.0006713032
categorical__dominant_product_category_unknown,0.00066782825
categorical__dominant_product_category_sports_leisure,0.0006095949
categorical__customer_state_MT,0.0005982546
categorical__dominant_product_category_construction_tools_safety,0.00055922585
