threshold,precision,recall,f1,positive_rate,tp,fp,tn,fn
0.05,0.06684923811530089,1.0,0.12532087145395907,0.9843102018247166,952,13289,227,0
0.1,0.0713744506743446,0.9894957983193278,0.13314487632508834,0.9122200718827758,942,12256,1260,10
0.15,0.07906895649899748,0.9527310924369747,0.14601947999678017,0.792853193254078,907,10564,2952,45
0.2,0.08790863369656328,0.8813025210084033,0.1598704268292683,0.6596627038982582,839,8705,4811,113
0.25,0.09977048737680573,0.7762605042016807,0.1768154085416916,0.5119574232789604,739,6668,6848,213
0.3,0.10859081978924807,0.6386554621848739,0.1856205159517631,0.38699198230577825,608,4991,8525,344
0.35,0.11400404448938321,0.4737394957983193,0.18378158109209453,0.2734310201824717,451,3505,10011,501
0.39999999999999997,0.12059035277177826,0.35189075630252103,0.17962466487935658,0.19200995299972354,335,2443,11073,617
0.44999999999999996,0.11840744570837643,0.24054621848739496,0.1586971586971587,0.133674315731269,229,1705,11811,723
0.49999999999999994,0.11209439528023599,0.15966386554621848,0.1317157712305026,0.09372408072988665,152,1204,12312,800
0.5499999999999999,0.11002178649237472,0.10609243697478991,0.10802139037433155,0.06345037323748963,101,817,12699,851
0.6,0.10445205479452055,0.06407563025210083,0.07942708333333333,0.04036494332319602,61,523,12993,891
0.65,0.11403508771929824,0.04096638655462185,0.06027820710973725,0.02363837434337849,39,303,13213,913
0.7,0.09883720930232558,0.017857142857142856,0.030249110320284697,0.011888305225324854,17,155,13361,935
0.75,0.2,0.011554621848739496,0.021847070506454815,0.003801492949958529,11,44,13472,941
0.7999999999999999,0.2,0.0021008403361344537,0.004158004158004158,0.0006911805363560963,2,8,13508,950
0.85,0.0,0.0,0.0,0.0,0,0,13516,952
0.9,0.0,0.0,0.0,0.0,0,0,13516,952
0.95,0.0,0.0,0.0,0.0,0,0,13516,952
